release_date,date_info,name,place,address,latitude,longitude,description,source_url
2026年03月13日,2026年3月11日（水）～2026年4月30日（木）,BOOK AND BED TOKYO SHINSAIBASHI 春季限定メニュー「抹茶チーズケーキ」「抹茶ラテ（2種）」「桜ソーダ」販売,BOOK AND BED TOKYO SHINSAIBASHI,大阪府大阪市中央区東心斎橋1-19-11 ウナギダニスクエア3階,,,BOOK AND BED TOKYO SHINSAIBASHIにて春季限定の抹茶チーズケーキ、抹茶ラテ、桜ソーダを期間限定で販売。本格宇治抹茶と桜を使用。,https://prtimes.jp/main/html/rd/p/000000087.000153230.html
2026年03月13日,2026年3月19日(木),ニールズヤード レメディーズ アミュプラザ博多店 リニューアルオープン,ニールズヤード レメディーズ アミュプラザ博多店,福岡県福岡市博多区博多駅中央街1ｰ1 アミュプラザ博多6F,,,ニールズヤード レメディーズ アミュプラザ博多店が2026年3月19日(木)にリニューアルオープン。オープニングキャンペーンとして、ガチャや購入特典、限定セットあり。,https://prtimes.jp/main/html/rd/p/000000170.000010935.html
2026年03月13日,2026年3月19日,オープニングキャンペーン,ニールズヤード レメディーズ アミュプラザ博多店,福岡県福岡市博多区博多駅中央街1ｰ1 アミュプラザ博多6F,,,"2,200円(税込)以上お買い上げで外れなしのガチャ、14,300円（税込）以上お買い上げでアロマパルス ウーマンズバランス(現品)をプレゼント、22,000円（税込）以上お買い上げでゼラニウム＆オレンジ マッサージオイル(現品)をプレゼント。",https://prtimes.jp/main/html/rd/p/000000170.000010935.html
2026年03月13日,2026年3月19日,リニューアルオープン限定セット,ニールズヤード レメディーズ アミュプラザ博多店,福岡県福岡市博多区博多駅中央街1ｰ1 アミュプラザ博多6F,,,"ワイルドローズ ビューティバーム スターターセット ￥5,049（税込）、ブルーグラス アロマセット フォーウーマン　￥5,742（税込）",https://prtimes.jp/main/html/rd/p/000000170.000010935.html
2026年03月13日,2026年3月13日,スナテクが投げ銭ライブエンターテイメント機能「スナボム」を提供開始,スナック,東京都千代田区,,,スナックDXのスナテクが、投げ銭ライブエンターテイメント機能「スナボム」を2026年3月13日より提供開始。来店せずとも店舗を応援できる「遠隔ボム」機能により、スナック業界に新たな収益モデルを創出。,https://prtimes.jp/main/html/rd/p/000000005.000157005.html
2026年03月13日,２０２６年３月２０日（金・祝）,プレスプレビュー,アドベンチャーワールド,和歌山県白浜町,None,None,メディア向けプレビューデー。ペンギンワールド・ラウンジ、マリンライブ「Smiles」、サファリ探検！ディスカバリーケニア号などを体験可能。,https://prtimes.jp/main/html/rd/p/000001118.000040302.html
2026年03月13日,４月の１か月間,ABURAYAMA FUKUOKA ３周年ありがとう祭,ABURAYAMA FUKUOKA,福岡市南区,,,リニューアルオープン３周年を記念した特別企画や毎週末のお祭りイベント,https://prtimes.jp/main/html/rd/p/000001140.000037933.html
2026年03月13日,2026 年 4 月 4 日(土)～4 月 26 日(日),ABURAYAMA スタンプラリー,インフォメーション・森の案内所,,,,春の森の中でハイキングを楽しみながらスタンプを集めてプレゼントをゲット,https://prtimes.jp/main/html/rd/p/000001140.000037933.html
2026年03月13日,2026 年 4 月 3 日(金)・4 日(土),アブラヤマ夜桜の宵,ABURAYAMA FUKUOKA 牧場エリア,福岡市南区,,,桜の美しさと福岡市街を一望する夜景を同時に楽しめる特別なひととき,https://prtimes.jp/main/html/rd/p/000001140.000037933.html
2026年03月13日,３周年,森の BBQ ３周年限定！ヌルボンお肉セット,ABURAYAMA FUKUOKA,福岡市南区,,,３周年限定のヌルボンお肉セット,https://prtimes.jp/main/html/rd/p/000001140.000037933.html
2026年03月13日,３周年,SnowPeak ABURAYAMA FUKUOKA ３周年記念アニバーサリーシェラカッププレゼント,SnowPeak ABURAYAMA FUKUOKA,福岡市南区,,,３万円(税込)以上ご購入の方へ、先着 50 名様に３周年記念アニバーサリーシェラカッププレゼント,https://prtimes.jp/main/html/rd/p/000001140.000037933.html
2026年03月13日,３周年,フォレストアドベンチャー・油山福岡 ネットコース＋ジップトリップコース,フォレストアドベンチャー・油山福岡,福岡市南区,,,"ネットコース＋ジップトリップコースのセットが、３周年特別価格 3,300 円でご提供",https://prtimes.jp/main/html/rd/p/000001140.000037933.html
2026年03月13日,３周年,ABURAYAMA CHEESE STAND 飲むヨーグルトプレゼント,ABURAYAMA CHEESE STAND,福岡市南区,,,"3,000 円（税込）以上お買い上げで、飲むヨーグルトを１本プレゼント",https://prtimes.jp/main/html/rd/p/000001140.000037933.html
2026年03月13日,2026年3月２1日（土曜日）11：00　～　１９：00,ekinico　南久留米駅「春祭り」イベント,南久留米駅,福岡県久留米市,,,南久留米駅にて「春祭り」イベントを開催。飲食ブース、ゲームワークショップ、建設重機との記念撮影、ダンスパフォーマンス等。,https://prtimes.jp/main/html/rd/p/000001139.000037933.html
2026年03月13日,2026年3月13日（金）18:00 ～ 3月29日（日）23:59,HexClad 新生活応援キャンペーン,HexClad Japan公式サイト,,,,ライフスタイルに合わせて選べる 4つのフライパンセットをご用意。期間中、対象のフライパンセットすべてに HexCladオリジナルトートバッグをプレゼント。通常価格より最大35％お得なセット価格でご提供。,https://prtimes.jp/main/html/rd/p/000000008.000157154.html
2026年03月13日,,ひとり暮らし2点セット,,,,,"一人暮らしや、HexCladを初めて使う方におすすめ。エッグパンと14cmの蓋付鍋のセット。特別価格：22,000円（税込）",https://prtimes.jp/main/html/rd/p/000000008.000157154.html
2026年03月13日,,人気フライパン2点セット,,,,,"毎日の料理を幅広く楽しみたい方に。エッグパンと26cmフライパンのセット。特別価格：28,800円（税込）",https://prtimes.jp/main/html/rd/p/000000008.000157154.html
2026年03月13日,,スマート3点セット,,,,,"料理をもっと楽しみたい方へ。フライパンと中華鍋、鍋を組み合わせた本格的なセット。特別価格：39,000円（税込）",https://prtimes.jp/main/html/rd/p/000000008.000157154.html
2026年03月13日,,ファミリー4点セット,,,,,"週末のお料理や、作り置きにも。フライパンと鍋、そしてライスポットを揃えた充実のプレミアムセット。特別価格：53,500円（税込）",https://prtimes.jp/main/html/rd/p/000000008.000157154.html
2026年03月13日,2026年3月16日（月）,美容室 Ash 浦安店が3月16日（月）オープン,Ash 浦安店,〒279-0002 千葉県浦安市北栄1-15-26 伊藤ビル2F,,,美容室 Ash 浦安店がオープン,https://prtimes.jp/main/html/rd/p/000000352.000049680.html
2026年03月13日,2026年3月27日(金)運行開始,KITAKYUSHU OPEN TOP BUS,,,,,モグっと推し活バスでGO！北九州２４時間フリー乗車券のオリジナルカードType01,https://prtimes.jp/main/html/rd/p/000000899.000017692.html
2026年03月13日,2026年4月4日 （土）－6月7日 （日）,"KYOTOGRAPHIE 2026アソシエイテッドプログラム 柴田 早理 ""COSMO PLASTICS""",東條會舘写真研究所,〒102-0083 東京都千代田区麹町1-6-12,,,地球の力に変容する海洋プラスチック写真が捉える、物質の宇宙的時間を体験する展示,https://prtimes.jp/main/html/rd/p/000000015.000115847.html
2026年03月13日,2026年5月23日（金）15:00～,ワークショップイベント＿写真家とフィールドワーク,北海道 利尻島,,,,撮影地 北海道 利尻島での「森の生活」回想録イベント,https://prtimes.jp/main/html/rd/p/000000015.000115847.html
2026年03月13日,2026年4月18日 （土）－5 月17日 （日）,KYOTOGRAPHIE 京都国際写真祭 Dotok Days,ASPHODEL（京都府京都市東山区八坂新地末吉町99-10）,京都府京都市東山区八坂新地末吉町99-10,,,Ruinart Japan Award 2025 Winner　Presented by Ruinart 柴田 早理の展覧会,https://prtimes.jp/main/html/rd/p/000000015.000115847.html
2026年03月13日,2026年3月14日（土）,日本経済新聞および読売新聞30段カラー広告掲載,,,,,日本経済新聞および読売新聞の30段紙面でメッセージを掲出。,https://prtimes.jp/main/html/rd/p/000000157.000046014.html
2026年03月13日,2026年3月21日（土）,恋活ナイトパーティー,東急歌舞伎町タワー5階 Water Terrace,東京都新宿区,,,総勢100名規模の恋活ナイトパーティー。5つのコンテンツを用意した回遊型イベント。19時から23時まで入退場自由。,https://prtimes.jp/main/html/rd/p/000000945.000007950.html
2026年03月13日,,ナポレオンパイメルト,クレープとエスプレッソとジェラートと,東京都渋谷区神宮前6-28-5 宮崎ビル101,,,同店限定メニュー。フレッシュなイチゴの甘酸っぱさ・たっぷりのカスタードの優しい甘みと、アーモンドとパイの食感や香ばしさがアクセントになった味わいのクレープ,https://prtimes.jp/main/html/rd/p/000000110.000035358.html
2026年03月13日,2026年３月18日（水）～24日（火）,EXPO 2027 オフィシャルポップアップストア あべのハルカス店,あべのハルカス近鉄本店　ウイング館２階　イベントスペース,大阪府大阪市阿倍野区阿倍野筋1-1-43,None,None,GREEN×EXPO 2027の公式ライセンス商品を取り扱うオフィシャルポップアップストアが期間限定オープン。公式マスコットキャラクター「トゥンクトゥンク」のグッズ販売やフォトスポットも。,https://prtimes.jp/main/html/rd/p/000000062.000155220.html
2026年03月13日,2026年3月20日（金）,ESPERANZA イオンモール大高にニューオープン,イオンモール大高,〒459-8016 愛知県名古屋市緑区南大高2-450 2F,,,シューズブランド「ESPERANZA（エスペランサ）」がイオンモール大高に新店舗をOPEN。靴orBAGお買い上げの方にESPERANZAオリジナルタンブラーをプレゼント（限定150個、無くなり次第終了）。,https://prtimes.jp/main/html/rd/p/000001951.000002439.html
2026年03月13日,2026年3月13日（金）～ 4月28日（火）,禅リトリート施設「禅坊 靖寧」せとうちDMOアワード「宿」部門受賞『アワード受賞記念キャンペーン』,禅坊 靖寧,兵庫県淡路市楠本字場中2594-5,,,アワード受賞記念キャンペーンとして、宿泊プランまたはランチプラン利用でオリジナルアロマオイルをプレゼント,https://prtimes.jp/main/html/rd/p/000002184.000016751.html
2026年03月13日,,ZEN STAY（宿泊プラン）,禅坊 靖寧,兵庫県淡路市楠本字場中2594-5,,,禅の思想を取り入れた瞑想やヨガなどのZEN Wellnessを通して、本来の自分と向き合い心身を癒す特別な宿泊体験を提供,https://prtimes.jp/main/html/rd/p/000002184.000016751.html
2026年03月13日,,ZENリトリート ランチプラン,禅坊 靖寧,兵庫県淡路市楠本字場中2594-5,,,瞑想やヨガなどのZEN Wellness体験をし、シェフ特製の禅坊料理や手作り茶菓、ZEN茶を味わいながら心身をデトックス＆リトリートできるひと時を提供,https://prtimes.jp/main/html/rd/p/000002184.000016751.html
